,tweetids,topics,alltopics,categories,ThirdPartyObservation,SignificantEventChange,Factoid,FirstPartyObservation,ContinuingNews,EmergingThreats,Official,Hashtags,KnownAlready,ServiceAvailable,Irrelevant,MultimediaShare,Discussion,Sentiment,Unknown,Advice,SearchAndRescue,cleanedtweets
45,665648804344029184,parisAttacks2015,parisAttacks2015,['Sentiment'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"People place tributes to the victims of Paris' attacks at the cafe 'La Belle Equipe', Rue de Charonne, in Paris"
46,665381488737787904,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: BREAKING: 8 terrorists reportedly killed in Paris attack. 7 used suicide vests.
47,665307037434298368,parisAttacks2015,parisAttacks2015,"['ServiceAvailable', 'Hashtags']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,": Parisians Use #PorteOuverte, ""Open Door,"" for Those Seeking Shelter Amid Attacks by via …"
48,665561114688806913,parisAttacks2015,parisAttacks2015,['Hashtags'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: Police are asking people to evacuate the Place de la République as a security measure. #ParisAttacks #Paris
49,665280056449761280,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'MultimediaShare', 'Hashtags', 'ContinuingNews']",1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,: Three explosions reported around the Stade de France in the Paris region - French media
50,665303983729287168,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'MultimediaShare']",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Gun battle breaks out at Paris restaurant, explosion rocks bar near stadium"
51,665281151066644480,parisAttacks2015,parisAttacks2015,"['EmergingThreats', 'Hashtags', 'ContinuingNews']",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"2 killed &amp; 7 others wounded after a shooting at a #Paris restaurant, as 2 explosions were also heard elsewhere"
52,665299336889286657,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,: 18 people are reportedly dead in a series of three explosions in Paris.
53,665284820256366592,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'Hashtags', 'ContinuingNews']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,: #ParisAttack Update: - Shooting at Restaurant - Multiple explosions at stadium - Hostages taken at Concert Hall - At least…
54,665292682944782340,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange', 'ContinuingNews']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,: URGENT: Two or three gunmen attacked police in front of #Bataclan theatre - #Paris police
55,665281146603888640,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats', 'Hashtags', 'ContinuingNews']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,: BREAKING: At least 2 explosions heard from #Paris' Stade de France stadium during France-Germany football match. ()
56,665315106805456896,parisAttacks2015,parisAttacks2015,"['ServiceAvailable', 'Hashtags']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,If you're out in Paris and need somewhere safe to go or stay use #PorteOuverte (open door) to find…
57,665326631385370626,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": #France law enforcement at least 100 were killed at the #Bataclan theatre, raising the death toll to at least 160. #Paris"
58,665275956148510721,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats', 'Hashtags']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,: Three explosions reported at Stade de France outside #Paris; President #Hollande evacuated
59,665392897714466816,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Official', 'ContinuingNews', 'KnownAlready']",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,": BREAKING: Prosecutor's office: 8 extremists dead after Paris attacks, 7 of them in suicide bombings."
60,665322165626007552,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100 found out to be dead in Bataclan theatre in Paris after hostage situation has ended.
61,665297155406479360,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'Discussion']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"ISIS attacked Beirut yesterday. 2 suicide bombers. 45 dead and 200+ injured. today, shooters in Paris hold people hostage. what is happening"
62,665283117662490624,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats', 'Hashtags', 'ContinuingNews']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,": More #BREAKING, : Hostages taken at Paris's Bataclan concert hall: police"
63,665488190111895552,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'KnownAlready']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,: The Islamic State group has claimed responsibility for the Paris attacks in an online statement.
64,665610319927054340,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Latest on Paris Attack: 129 people dead. 352 injured 3 teams of terrorists 7 attackers detonated suicide vests https…
65,665376539807105024,parisAttacks2015,parisAttacks2015,['ServiceAvailable'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,": For Paris, whose response to an act of terrorism is to open doors, we give thanks. #PorteOuverte"
66,665325472780124162,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats', 'Factoid']",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Dozens dead, hostages in Paris attacks - Casualties and hostages reported near Place de la République after bla..."
67,665383352900460544,parisAttacks2015,parisAttacks2015,['Factoid'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A majority of the hostages inside the Concert Hall were killed by the gunmans suicide vests when the police raided :( #PrayForParis
68,665356453373325312,parisAttacks2015,parisAttacks2015,"['Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,: 160 estimated Deaths 118 killed at concert Six seperate attacks Two suicide bombings forever in our hearts. #PrayforParis
69,665291427216277504,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,": Paris: impossible to cross place de la République from now on, police sirens non stop, highly threatening..."
70,665482747809554433,parisAttacks2015,parisAttacks2015,['ThirdPartyObservation'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BREAKING: Islamic State claims responsibility for Paris attacks in official statement
71,665503833515294720,parisAttacks2015,parisAttacks2015,['ThirdPartyObservation'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: The police HQ of Paris have officers in civilan clothes patrolling the Place de la République to prevent gatherings.
72,665285502245801984,parisAttacks2015,parisAttacks2015,"['SignificantEventChange', 'Hashtags', 'ContinuingNews']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,: #Paris is under #terrorism attack. Four different attacks in four areas with a continuing hostage issue. Stand by for de…
73,665455196726759425,parisAttacks2015,parisAttacks2015,"['ServiceAvailable', 'Hashtags']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,: #PorteOuverte: Parisians advertise ‘open doors’ for those stranded by terror attacks #Paris
74,665286713720348672,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'EmergingThreats', 'ContinuingNews']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,: BREAKING: German football team evacuated from Paris hotel after bomb threat received.
75,665293817046818816,parisAttacks2015,parisAttacks2015,['Discussion'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,: If the Paris attacks are proved to be by anyone allowed into Europe by Merkel and EU leaders under open door policy the…
76,665381485780844544,parisAttacks2015,parisAttacks2015,['Discussion'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bill Maher claimed that the West bombing ISIS is what caused the terrorist attacks in #Paris
77,665368828897918977,parisAttacks2015,parisAttacks2015,['ThirdPartyObservation'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": UPDATE: 3 hostage-takers died after detonating suicide vests during police storming of #Bataclan concert hall, say #Paris police"
78,665310991698165760,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,: Five more bombs went off at the Paris concert hall. Another attack under way now.
79,665308926833856513,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange', 'MultimediaShare', 'ContinuingNews']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,: Shocking video shows aftermath of Stade de France bomb. #Paris
80,665289276574314496,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'MultimediaShare']",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,: Explosion can be heard from Germany v France game in stadium. Thought to be suicide bomber #paris
81,665453661707968512,parisAttacks2015,parisAttacks2015,"['Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,I can hear the screams nd cries even though i'm faraway from Paris. #PRAYFORPARIS #1DLOUIS #1DLIAM #1DHARRY #1DNIALL #1DIN ~7
82,665534877241106432,parisAttacks2015,parisAttacks2015,"['MultimediaShare', 'Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,: In pictures: Tributes grow for Paris terror attack victims #ParisAttacks
83,665537937820524545,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'MultimediaShare', 'Unknown']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,I liked a video from Paris Attacked By ISIS 11-13-15 (This World Needs Change NOW)
84,665301685296738304,parisAttacks2015,parisAttacks2015,['Irrelevant'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,: Terrorist ≠ Muslim Terrorist ≠ Arab Terrorist ≠ Middle Eastern features Do not spread islamophobia now. #PrayForParis
85,665301542216581120,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'ContinuingNews']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: BREAKING: Paris police urge people who are at home or at work to remain indoors
86,665356247944818688,parisAttacks2015,parisAttacks2015,"['Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,: this is heartbreaking. stay strong ️ #PrayForParis
87,665571301419937796,parisAttacks2015,parisAttacks2015,"['MultimediaShare', 'Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,: You’ll never walk alone. #Paris #PrayForParis
88,665289883683069952,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange', 'Hashtags']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"Update from the #11eme: cell service seems to be cut off, ambulances have been driving by. Police have blocked off surrounding roads. #Paris"
89,665318885424414720,parisAttacks2015,parisAttacks2015,['ServiceAvailable'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,: IF YOU'RE IN PARIS AND NEED HELP #PorteOuverte #PrayForParis
90,665308228348153856,parisAttacks2015,parisAttacks2015,['Irrelevant'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,: the world is such a frightening place sometimes #prayforparis
91,665338433770942464,parisAttacks2015,parisAttacks2015,"['Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,I really had a goosebomp about the paris incident the aldub nation i with them prayer is powerful #ALDUBHappyBdayLOLA #prayforparis
92,665318014515048448,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": BREAKING NEWS: Hostage crisis ends at Paris theater, 2 attackers killed - BFM-TV reports"
93,665615060979621888,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Sentiment']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,": Rubio calls Paris attacks evidence of a ""clash of civilizations. And either they win, or we win."""
94,665318951946051584,parisAttacks2015,parisAttacks2015,['Irrelevant'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Hope minimal damage has been done in The #Bataclan, but witnesses report that multiple rounds of gunfire were heard. #PrayForParis"
95,665312984390983680,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'MultimediaShare', 'ContinuingNews']",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,: AP reports automatic gunfire heard from outside Paris concert hall where attackers holding hostage.
96,665341253987516416,parisAttacks2015,parisAttacks2015,"['Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,: The Eiffel Tower's light have been turned off in memory of those who got killed. #PrayForParis
97,665347760057520128,parisAttacks2015,parisAttacks2015,"['ServiceAvailable', 'Hashtags']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,: #PorteOuverte - Find temporary shelter and get safe! Please add your address!! #RT #FRANCE #PARIS
98,665597932683440129,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'KnownAlready']",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Great job by our venue management folks abroad. Suicide bomber tried to enter stadium, but was blocked."
99,665549564695441409,parisAttacks2015,parisAttacks2015,"['MultimediaShare', 'Hashtags', 'Sentiment']",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,: World Landmarks Light Up To Honor Paris Terror Victims
100,665305522376085505,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Paris terror attacks : Shootings, explosions reported. 60 dead acc to cnn"
101,665491666514681857,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'Hashtags', 'ContinuingNews', 'Sentiment']",1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,": Former French security agent in Lexington says he is devastated, but not surprised, by #Paris attacks"
102,665289239412744193,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Latest from #Paris 3 different gun battles going on in battles. Police have blocked roads and people are being asked to stay indoors.
103,665490549198200832,parisAttacks2015,parisAttacks2015,['Irrelevant'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bomb disposal squad vehicles arriving at Gatwick Airport #gatwick #ParisAttacks
104,665303721941725185,parisAttacks2015,parisAttacks2015,"['ThirdPartyObservation', 'SignificantEventChange', 'MultimediaShare']",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,": CAUGHT ON VIDEO: #PARIS Emergency vehicles pass, then shooting / explosion heard."
105,665305948685262848,parisAttacks2015,parisAttacks2015,"['FirstPartyObservation', 'SignificantEventChange', 'MultimediaShare']",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,: emergency vehicles speeding by on #Periscope: : #ParisShooting : blocked by the Police
