,tweetids,topics,alltopics,categories,FirstPartyObservation,Official,ContinuingNews,ThirdPartyObservation,SignificantEventChange,Factoid,Advice,Irrelevant,KnownAlready,EmergingThreats,MultimediaShare,ServiceAvailable,PastNews,Sentiment,Donations,Volunteer,Discussion,Weather,InformationWanted,MovePeople,cleanedtweets
10,389248066819084288,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'EmergingThreats', 'SignificantEventChange', 'Factoid', 'Official']",0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,": Browns Rd, Salt Ash - fire has jumped the Tilligerry Creek and #NSWRFS aircraft and crews are working to contain spot fires. #n…"
11,389252483412791296,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Forest / Wild Fire - Australia - Australia
12,389258464461348864,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: Smoke billowing from the car-park at Sydney Olympic Park... where 20 cars are on fire via
13,389262222561525761,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'EmergingThreats', 'Factoid', 'Advice']",1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NSW ** Watch and Act - Webbs Creek (Hawkesbury) ** 13/10/13 15:57 A bush fire is currently burning between...
14,389263355057152000,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: PHOTO: Dozens of cars are on fire at Sydney Olympic Park Aquatic Centre
15,389270841864626176,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forest / Wild Fire - Australia - Australia: EDIS Number: WF-20131013-41255-AUSDate / time:... #anonymous #anonops
16,389276814549331968,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: More than 40 cars have been destroyed in a large fire in #Sydney's Olympic Park.
17,389281960981327872,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'SignificantEventChange', 'Factoid', 'Official']",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": #NSWRFS &amp; #FRNSW crews on scene working to contain a fire at Parbury Park (Lake Macquarie), near the Old Pacific Highway, Swans…"
18,389316773683527680,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""": Fire crews are checking car fuel tanks after a grassfire spread to the carpark of Sydney's Olympic Aquatic Centre #TooClose"
19,389321798472323073,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'EmergingThreats', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"There is a growing fire near Norwest Hospital, NSW. Fire brigade is in attendance."
20,389375728828944384,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Official']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relief crew has arrived and we're now heading back to station in a coach. Long day. Good luck to night crew. #nswrfs
21,389393659478544384,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ServiceAvailable']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fire Service Industry News: Elkhart Brass Partners with Fire Rescue Safety Australia: Elkhart ... #fireprotection
22,389480976495030272,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'PastNews']",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Here's a photo taken yesterday by after the fire in Sydney's Olympic Aquatic Centre carpark
23,389497065836777472,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ciggie butt may have started Sydney fire: A cigarette butt is suspected of causing a grass fire at Sydney...
24,389572273926963200,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fire Protection Engineer Sydney #CareersJobs
25,389589894185484288,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NSW premier is at #SaltAsh inspecting fire damage w . Press conference to come, hear more w"
26,389604582638120960,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blaze hits Australia Olympic park: A fire in Australia's Olympic park destroyed or damaged around 80 cars and ...
27,389695452230483970,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'PastNews']",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,: via : NSW Fire Cmsr says a discarded cigarette most likely cause of yday's Olympic Park car park fire - polic…
28,389946967855362049,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'SignificantEventChange', 'Factoid', 'Official']",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Fast moving grass fire near Maitland Point Bridge, NW of Uralla. Firefighters on scene. More to come. #NSWRFS #nswfires"
29,390332634137518080,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Factoid', 'Official', 'ContinuingNews']",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": Total Fire Bans will be in place in a number of areas tomorrow including Greater Sydney, the Greater Hunter, and the Illawarra/…"
30,390334748067135488,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Sydney Morning &gt; Fierce CBD blaze causing traffic chaos - Fire in a city high-rise building that has closed Ba...
31,390384962244845568,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: :) RT : Two fires at Sydney Water and Sydney Aquatic Centre within a week. When did fire develop a s…
32,390427303760498688,australiaBushfire2013,australiaBushfire2013,"['Factoid', 'Official', 'Advice']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,": Hot, dry and windy conditions over much of NSW - please take care and observe the total fire bans if they apply... htt…"
33,390445674820403200,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": High fire alert tomorrow, hitting temps of 34 in #Sydney with strong winds, creating severe fire danger."
34,390601199621509120,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Factoid', 'Official', 'ContinuingNews', 'Advice']",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,": 65 fires in NSW, 25 uncontained. Today will be challenging - hot and windy. Stay up to date at #NSWRFS #…"
35,390633776776105984,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'SignificantEventChange', 'Factoid', 'Official']",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: #Lithgow Fire: The fire has jumped Bells Line of Road. #NSWRFS #nswfires
36,390645080412807168,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: Image of fire at Port Stephens burning very aggressively #nswfires
37,390656178520608768,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ContinuingNews']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Follow the #nswfires coverage with our live blog
38,390658086953689088,australiaBushfire2013,australiaBushfire2013,['ThirdPartyObservation'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: . just drove back from Sydney and passed a few Rural Fire trucks heading north ....
39,390675367461019648,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,It seems yet again significant chunks of NSW are on fire. - Racing my bike in Kanangra Boyd NP this weekend. Eeek.
40,390676797735862272,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'SignificantEventChange', 'Factoid', 'ContinuingNews']",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NSW *** HIGHWAY CLOSED BOTH DIRECTIONS ** WILTON Hume Mwy at Picton Rd BUSH FIRE Started today 1:20pm, last..."
41,390677649200119808,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'SignificantEventChange', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: Newcastle airport closed due to smoke from bushfire at williamtown #fires #nsw #newcastleairport
42,390679553410347008,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'EmergingThreats', 'Factoid', 'Official']",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,": Emergency Warning - Linksview Road, Springwood (Blue Mtns) Firefighters are on scene. #NSWRFS #nswfires"
43,390679951835271168,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#SydneyFires map thanks to - Send us pics/video eyewitnessnews.com.au #lithgow #springwood #balmoral
44,390689925894377472,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'Sentiment']",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Very tough fire day out there. S'ly change about to hit Kiama. 90 mins to Sydney, 3-4 hours to Port Stephens. Good luck to RFS &amp; residents"
45,390690840286199808,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: Premier says NSW has a bush fire crisis.When will realise we have a #climate crisis and keep…
46,390695357522653184,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Stay safe Sydney. These fires are pretty crazy.
47,390696489980162048,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'EmergingThreats', 'SignificantEventChange', 'Factoid', 'Official', 'Advice']",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,": #Lithgow Fire: Major Fire Update Fire is impacting Morts Estate, Clarence and Dargan. #NSWRFS #nswfires"
48,390697479852654592,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Homes lost in Springwood in the Blue Mountains. Latest details on the fires. #nswfires
49,390697651835895808,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews', 'Sentiment']",0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,": wow! this isnt rain on the radar, its a huge smoke plume covering sydney from fires in lithgow!"
50,390699895784361985,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Dear NSW, if we could give you some if our weather, we would. From VIC #nswfires"
51,390699908354682880,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: This ISN'T rain on SYDNEY RADAR! Its a massive smoke plume from LITHGO FIRES travelling to coast by NW winds! #fires ht…
52,390699962868449281,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Advice']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,""": RT : Please postpone non-essential travel on roads near bushfires"" #bushfire #Sydney"
53,390700055146921984,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'MultimediaShare', 'Official', 'ContinuingNews', 'Advice']",1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,: If you are having trouble with RFS website check or #NSWRFS #nswfires
54,390701175038701568,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Latest on the #nswfires here
55,390703846810746880,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'EmergingThreats', 'SignificantEventChange', 'Factoid']",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Linksview Rd, #Springwood: Fire has crossed Nepean River and is burning in Castlereagh (Penrith area) #NSWRFS #nswrfs"
56,390704404648562688,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: #BREAKING: Fire in the Southern Highlands has impacted the Hume Highway. #nswfires #bushfires
57,390704756953329664,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: View of Springwood fire looking toward Winmalee from Warrimoo Oval #nswfires #nswrfs
58,390705272857313280,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ContinuingNews', 'Sentiment']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Just got out work in the heart of Sydney CBD and the smell of smoke is strong. Eerie sky. Fire must be huge.
59,390706652812283904,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ServiceAvailable', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,: Use our interactive map to explore current #bushfire incidents and warnings in NSW
60,390707135153455104,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Where exactly are the fires? #nswfires
61,390707365822988288,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: Only October and more fires in Australia.
62,390707562951086082,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: The SUN is barely visible through the smoke in the Blue Mountains. #NSWFires
63,390708565385560064,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'ServiceAvailable', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,have mirrored bushfire maps here #NSWRFS #nswfires for FB updates
64,390709030965886977,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Factoid']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: Ash and smoke from Hall Rd #Balmoral fire visible in the Illawarra. #NSWRFS. #nswfires
65,390710423474827264,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,At least 40 homes destroyed in #SydneyFires #Australia
66,390710872248565760,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: If you're in #Sydney get #bushfire #nswfires updates on and and listen to our live stream:
67,390710998082289664,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Sydney is covered in orange and black smoke. So many bush fires in NSW at the moment.
68,390711434289508352,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: Ash and charred leaves from Blue Mountains fires falling near Coogee Beach in Sydney's East #bushfires #nswrfs
69,390711719502151680,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hope my twitter buddies in Australia are safe and sound! Thoughts go out to you! #nswfires #bushfires
70,390712549986942976,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,These bush fires are scary :( stay safe everyone!! #Sydney #bushfires #hot
71,390713619551641600,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Smoky sky. #Sydney #Bushfire
72,390713707598061568,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,: Smoke covers Sydney and turns day into night. Picture: Jane Dyson #smoke #bushfire #fire #sydney …
73,390714768790945792,australiaBushfire2013,australiaBushfire2013,"['MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Amazing skies in Sydney at the moment with bush-fires nearby.
74,390714995249786880,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,": Lithgow fire from Macquarie Park, Sydney"
75,390716173869785088,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hope everyone in NSW is safe xx #bushfires #nswfires
76,390716186440499200,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Witnesses tell of fire fronts across #NSW : ""It's just wild, miles of smoke"" #sydneyfires #nswfires"
77,390716274512125952,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,": If you're wondering why NSW is freaking out right now, this is what our state looks like: each diamond is a fire"
78,390716450693861376,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"There's fires again. Australia, what are you doing?!"
79,390717314699890688,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,If you're in NSW and are near the fires please stay safe! You all are in my prayers!
80,390718401049399296,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Factoid', 'ContinuingNews']",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nina (aka: The Spare) outside our house in Parramatta. These #SydneyFires are amazing
81,390718543635181568,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: My thoughts are w evry1 affected by the current bush fires. Stay safe &amp; be smart! Pic: smoke blanketing West Sydney http:/…
82,390719659349397504,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: there have already been so many bush fires and high temperatures and its not even summer yet australia is dying
83,390719919370690561,australiaBushfire2013,australiaBushfire2013,"['MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,About 80 bush fires all around NSW today.. This sky is starting to look a little creepy.
84,390720552702210048,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"People of NSW, be careful because there's fires spreading! Stay safe everyone!"
85,390720900834009088,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": The NSW fireys are doing an awesome job. If it was safe I would supply them with cold beer, but fires."
86,390721915859771392,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,": RT Lookout end of Grand Parade, Mt Riverview #nswrfs"
87,390724226916679680,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid']",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Sydney CBD skyline, shrouded in smoke, blue skies reflected in the glass of the buildings. #nswfires #bushfires"
88,390726399582937088,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: At a shoot right near Sydney fires!! There is ash embers flying into my eyes!!
89,390728781926629376,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": Stay safe with ""Fires Near Me"" - an app from NSW Rural Fire Service #nswfires"
90,390728790323654657,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#nswfires #SydneyFires #sydney View from Erskineville
91,390729343963381760,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,To all drivers out on fire-torn roads around #Sydney: Please be safe &amp; make sure to follow all official instructions. #nswfires #safetyfirst
92,390729729864515584,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Watching The fires in Sydney are horrendous. Thoughts out to all the residents and wildlife affected by this tragedy.
93,390729767609040897,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,": sydney - over a hundred bush fires, high temperatures and humidity, extreme winds melbourne - hail, rain, cloudy australi…"
94,390730048632000512,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,View from my desk earlier #sydneyfires #sydney #australia #smoke #scary #city #cbd #orange #apocalypse…
95,390731059467272192,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'Official', 'Sentiment']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,": #NSWRFS Commissioner Shane Fitzsimmons: ""If we get through with less than 100 homes destroyed today, we have been lucky"". #nswf…"
96,390732464533938177,australiaBushfire2013,australiaBushfire2013,"['FirstPartyObservation', 'EmergingThreats', 'Factoid', 'Official']",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Emergency Warning - Hank St Fire (Heatherbrae) #NSWRFS #nswfires
97,390733412455424000,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Sentiment']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Indeed. Terrible news RT : Oh man … Susan Templeman (was ALP Candidate for Macquarie) has lost her home. #nswfires
98,390735937434427393,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,: Bushfire smoke from West to East over Sydney and the CBD in the background #nswfires #bushfires #sydney
99,390736985981485056,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,: via : Live at headquarters 'the worst fire emergency NSW has seen in over a decade' RFS …
100,390737439003648000,australiaBushfire2013,australiaBushfire2013,"['ThirdPartyObservation', 'Factoid', 'ContinuingNews']",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NSWfires For Newcastle people summary of fires situation from Newcastle Herald at
101,390738290439368705,australiaBushfire2013,australiaBushfire2013,['Irrelevant'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"From the train, showing the smoke filled sky from the #Lithgow #nswfires"
